patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,11,24,2.1818181818181817,25481
1,3,3,4.24,9,55,6.111111111111111,22445
1,4,4,5.66,8,322,40.25,28075
1,5,5,7.07,10,148,14.8,24365
1,6,6,8.49,7,42,6.0,24370
1,7,7,9.9,8,423,52.875,27469
1,8,8,11.31,6,358,59.666666666666664,25564
1,9,9,12.73,7,511,73.0,28460
1,10,10,14.14,6,60,10.0,28455
1,11,11,15.56,7,77,11.0,27107
1,12,12,16.97,9,129,14.333333333333334,27539
1,13,13,18.38,7,304,43.42857142857143,26119
1,14,14,19.8,8,411,51.375,25018
1,15,15,21.21,6,963,160.5,26745
1,16,16,22.63,7,513,73.28571428571429,27744
1,17,17,24.04,4,68,17.0,27606
1,18,18,25.46,10,808,80.8,24967
1,19,19,26.87,4,289,72.25,26985
1,20,20,28.28,4,661,165.25,29521
1,21,21,29.7,4,430,107.5,25982
1,22,22,31.11,4,164,41.0,29633
1,23,23,32.53,6,685,114.16666666666667,27444
1,24,24,33.94,2,459,229.5,25571
1,25,25,35.36,3,344,114.66666666666667,28513
1,26,26,36.77,4,332,83.0,26262
1,27,27,38.18,7,709,101.28571428571429,30879
1,28,28,39.6,2,163,81.5,28058
1,29,29,41.01,0,0,0.0,25727
1,30,30,42.43,3,387,129.0,26620
1,31,31,43.84,2,118,59.0,26595
1,32,32,45.25,1,232,232.0,30059
1,33,33,46.67,3,1533,511.0,28447
1,34,34,48.08,0,0,0.0,27287
1,35,35,49.5,1,70,70.0,27832
1,36,36,50.91,2,478,239.0,28655
1,37,37,52.33,1,37,37.0,31454
1,38,38,53.74,4,553,138.25,29122
1,39,39,55.15,3,481,160.33333333333334,31090
1,40,40,56.57,1,592,592.0,29476
1,41,41,57.98,3,260,86.66666666666667,29382
1,42,42,59.4,0,0,0.0,29076
1,43,43,60.81,2,86,43.0,27045
1,44,44,62.23,2,354,177.0,26965
1,45,45,63.64,1,165,165.0,28999
1,46,46,65.05,0,0,0.0,29378
1,47,47,66.47,1,47,47.0,29038
1,48,48,67.88,1,345,345.0,30179
1,49,49,69.3,0,0,0.0,29265
1,50,50,70.71,2,186,93.0,27456
1,51,51,72.12,0,0,0.0,28098
1,52,52,73.54,1,52,52.0,30560
1,53,53,74.95,0,0,0.0,31415
1,54,54,76.37,0,0,0.0,32230
1,55,55,77.78,0,0,0.0,28019
1,56,56,79.2,0,0,0.0,29412
1,57,57,80.61,0,0,0.0,28295
1,58,58,82.02,0,0,0.0,25078
1,59,59,83.44,0,0,0.0,27748
1,60,60,84.85,0,0,0.0,27941
1,61,61,86.27,1,61,61.0,29437
