patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,64,45122,705.03125,267152
1,3,3,4.24,43,18097,420.86046511627904,422729
1,4,4,5.66,32,33686,1052.6875,497787
1,5,5,7.07,37,22082,596.8108108108108,383704
1,6,6,8.49,40,52221,1305.525,429791
1,7,7,9.9,37,55760,1507.027027027027,426209
1,8,8,11.31,29,31569,1088.5862068965516,484921
1,9,9,12.73,21,15558,740.8571428571429,517320
1,10,10,14.14,33,41542,1258.8484848484848,471314
1,11,11,15.56,29,64929,2238.9310344827586,491011
1,12,12,16.97,27,54567,2021.0,496442
1,13,13,18.38,19,45840,2412.6315789473683,526944
1,14,14,19.8,25,50783,2031.32,572769
1,15,15,21.21,26,62448,2401.846153846154,504100
1,16,16,22.63,29,94882,3271.793103448276,537433
1,17,17,24.04,18,56424,3134.6666666666665,570817
1,18,18,25.46,20,73636,3681.8,604201
1,19,19,26.87,22,54840,2492.7272727272725,545746
1,20,20,28.28,13,38139,2933.769230769231,593785
1,21,21,29.7,14,40988,2927.714285714286,578802
1,22,22,31.11,20,47299,2364.95,540932
1,23,23,32.53,14,53272,3805.1428571428573,576061
1,24,24,33.94,21,80995,3856.904761904762,530912
1,25,25,35.36,13,42908,3300.6153846153848,608202
1,26,26,36.77,12,34413,2867.75,581898
1,27,27,38.18,5,20376,4075.2,634530
1,28,28,39.6,15,41325,2755.0,607923
1,29,29,41.01,13,37211,2862.3846153846152,573842
1,30,30,42.43,10,52898,5289.8,653783
1,31,31,43.84,17,82109,4829.941176470588,598850
1,32,32,45.25,11,44323,4029.3636363636365,596673
1,33,33,46.67,9,37058,4117.555555555556,558743
1,34,34,48.08,7,17559,2508.4285714285716,570929
1,35,35,49.5,11,39318,3574.3636363636365,617003
1,36,36,50.91,11,44578,4052.5454545454545,616893
1,37,37,52.33,8,24247,3030.875,608630
1,38,38,53.74,11,42746,3886.0,611047
1,39,39,55.15,11,20123,1829.3636363636363,547674
1,40,40,56.57,6,30707,5117.833333333333,618506
1,41,41,57.98,8,31230,3903.75,610790
1,42,42,59.4,6,37722,6287.0,628728
1,43,43,60.81,14,68172,4869.428571428572,610835
1,44,44,62.23,7,25919,3702.714285714286,597446
1,45,45,63.64,7,25663,3666.1428571428573,570674
1,46,46,65.05,9,43056,4784.0,620880
1,47,47,66.47,5,13670,2734.0,609158
1,48,48,67.88,5,30577,6115.4,662024
1,49,49,69.3,2,10086,5043.0,650005
1,50,50,70.71,5,17864,3572.8,664142
1,51,51,72.12,6,22511,3751.8333333333335,623767
1,52,52,73.54,6,33038,5506.333333333333,562502
1,53,53,74.95,2,6275,3137.5,646872
1,54,54,76.37,5,17586,3517.2,662895
1,55,55,77.78,6,24220,4036.6666666666665,686863
1,56,56,79.2,3,16245,5415.0,654333
1,57,57,80.61,5,27823,5564.6,673632
1,58,58,82.02,2,10011,5005.5,642772
1,59,59,83.44,5,26103,5220.6,681990
1,60,60,84.85,4,21206,5301.5,693850
1,61,61,86.27,2,11246,5623.0,655893
1,62,62,87.68,1,3557,3557.0,630786
1,63,63,89.1,1,2384,2384.0,676232
1,64,64,90.51,1,3549,3549.0,625823
1,65,65,91.92,5,29755,5951.0,601980
1,66,66,93.34,1,2432,2432.0,686005
1,67,67,94.75,1,5896,5896.0,652337
1,68,68,96.17,1,6533,6533.0,685564
1,69,69,97.58,0,0,0.0,641082
1,70,70,98.99,2,10529,5264.5,685801
1,71,71,100.41,2,6403,3201.5,622277
1,72,72,101.82,0,0,0.0,637662
1,73,73,103.24,4,21406,5351.5,598584
1,74,74,104.65,0,0,0.0,594787
1,75,75,106.07,2,7658,3829.0,684408
1,76,76,107.48,1,9766,9766.0,652758
1,77,77,108.89,1,5759,5759.0,650596
1,78,78,110.31,1,6797,6797.0,660793
1,79,79,111.72,1,2586,2586.0,632945
1,80,80,113.14,1,3214,3214.0,642130
1,81,81,114.55,0,0,0.0,684058
