patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,14,30,2.142857142857143,11235
1,3,3,4.24,18,54,3.0,10735
1,4,4,5.66,14,82,5.857142857142857,10613
1,5,5,7.07,10,50,5.0,10816
1,6,6,8.49,14,84,6.0,11314
1,7,7,9.9,12,84,7.0,11171
1,8,8,11.31,9,72,8.0,12217
1,9,9,12.73,10,90,9.0,11405
1,10,10,14.14,10,100,10.0,11511
1,11,11,15.56,17,187,11.0,10281
1,12,12,16.97,13,263,20.23076923076923,11624
1,13,13,18.38,9,117,13.0,11173
1,14,14,19.8,6,84,14.0,12428
1,15,15,21.21,9,135,15.0,12768
1,16,16,22.63,5,80,16.0,12966
1,17,17,24.04,14,242,17.285714285714285,12054
1,18,18,25.46,11,198,18.0,11144
1,19,19,26.87,12,240,20.0,12745
1,20,20,28.28,10,200,20.0,11775
1,21,21,29.7,9,189,21.0,11862
1,22,22,31.11,6,132,22.0,13050
1,23,23,32.53,9,207,23.0,11249
1,24,24,33.94,7,192,27.428571428571427,11657
1,25,25,35.36,1,25,25.0,13418
1,26,26,36.77,12,312,26.0,13097
1,27,27,38.18,7,189,27.0,12417
1,28,28,39.6,6,168,28.0,11809
1,29,29,41.01,8,392,49.0,12813
1,30,30,42.43,5,150,30.0,12640
1,31,31,43.84,9,279,31.0,11541
1,32,32,45.25,11,352,32.0,11868
1,33,33,46.67,11,363,33.0,11856
1,34,34,48.08,6,204,34.0,12146
1,35,35,49.5,5,175,35.0,13150
1,36,36,50.91,7,252,36.0,12501
1,37,37,52.33,6,222,37.0,13158
1,38,38,53.74,6,228,38.0,12071
1,39,39,55.15,4,156,39.0,12684
1,40,40,56.57,4,160,40.0,13163
1,41,41,57.98,14,574,41.0,11033
1,42,42,59.4,8,340,42.5,12113
1,43,43,60.81,7,305,43.57142857142857,12846
1,44,44,62.23,8,352,44.0,11873
1,45,45,63.64,4,180,45.0,13453
1,46,46,65.05,4,184,46.0,13125
1,47,47,66.47,8,376,47.0,12729
1,48,48,67.88,8,384,48.0,12565
1,49,49,69.3,5,245,49.0,12658
1,50,50,70.71,1,50,50.0,12757
1,51,51,72.12,7,373,53.285714285714285,13060
1,52,52,73.54,2,104,52.0,12579
1,53,53,74.95,4,212,53.0,12810
1,54,54,76.37,4,356,89.0,13705
1,55,55,77.78,7,385,55.0,12161
1,56,56,79.2,2,112,56.0,12203
1,57,57,80.61,6,342,57.0,12086
1,58,58,82.02,4,232,58.0,13142
1,59,59,83.44,7,413,59.0,12859
1,60,60,84.85,6,444,74.0,13877
1,61,61,86.27,2,122,61.0,12622
1,62,62,87.68,7,759,108.42857142857143,13361
1,63,63,89.1,10,688,68.8,13076
1,64,64,90.51,2,128,64.0,13488
1,65,65,91.92,7,457,65.28571428571429,12901
1,66,66,93.34,4,264,66.0,12612
1,67,67,94.75,4,268,67.0,12965
1,68,68,96.17,3,204,68.0,13491
1,69,69,97.58,5,345,69.0,13625
1,70,70,98.99,7,490,70.0,12526
1,71,71,100.41,6,426,71.0,13186
1,72,72,101.82,5,360,72.0,13026
1,73,73,103.24,6,562,93.66666666666667,13167
1,74,74,104.65,3,222,74.0,12176
1,75,75,106.07,4,300,75.0,12833
1,76,76,107.48,9,684,76.0,12005
1,77,77,108.89,3,231,77.0,12677
1,78,78,110.31,5,390,78.0,12546
1,79,79,111.72,3,237,79.0,13646
1,80,80,113.14,3,240,80.0,12903
1,81,81,114.55,4,324,81.0,12265
1,82,82,115.97,4,328,82.0,12406
1,83,83,117.38,6,498,83.0,12143
1,84,84,118.79,5,420,84.0,13933
1,85,85,120.21,8,806,100.75,13778
1,86,86,121.62,0,0,0.0,12974
1,87,87,123.04,0,0,0.0,12963
1,88,88,124.45,2,176,88.0,13501
1,89,89,125.87,3,267,89.0,13170
