patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,17,54,3.176470588235294,46724
1,3,3,4.24,19,927,48.78947368421053,42040
1,4,4,5.66,10,1130,113.0,40863
1,5,5,7.07,10,858,85.8,46604
1,6,6,8.49,9,1108,123.11111111111111,42352
1,7,7,9.9,15,1940,129.33333333333334,47877
1,8,8,11.31,5,300,60.0,51367
1,9,9,12.73,6,1177,196.16666666666666,45361
1,10,10,14.14,4,193,48.25,48120
1,11,11,15.56,3,810,270.0,47564
1,12,12,16.97,4,709,177.25,48000
1,13,13,18.38,7,878,125.42857142857143,49881
1,14,14,19.8,9,1286,142.88888888888889,48622
1,15,15,21.21,3,209,69.66666666666667,50755
1,16,16,22.63,5,767,153.4,45874
1,17,17,24.04,2,438,219.0,47088
1,18,18,25.46,5,1076,215.2,54439
1,19,19,26.87,5,2634,526.8,50238
1,20,20,28.28,1,73,73.0,47668
1,21,21,29.7,2,620,310.0,48415
1,22,22,31.11,3,357,119.0,55002
1,23,23,32.53,2,248,124.0,46677
1,24,24,33.94,3,277,92.33333333333333,53211
1,25,25,35.36,2,443,221.5,49598
1,26,26,36.77,3,1605,535.0,57810
1,27,27,38.18,1,142,142.0,48703
1,28,28,39.6,2,1659,829.5,49680
1,29,29,41.01,1,109,109.0,49763
1,30,30,42.43,0,0,0.0,52315
1,31,31,43.84,1,310,310.0,52304
1,32,32,45.25,6,2408,401.3333333333333,45426
1,33,33,46.67,1,149,149.0,48600
1,34,34,48.08,6,2560,426.6666666666667,47959
1,35,35,49.5,1,132,132.0,48366
1,36,36,50.91,0,0,0.0,53500
1,37,37,52.33,3,586,195.33333333333334,48818
1,38,38,53.74,2,367,183.5,49278
1,39,39,55.15,1,192,192.0,51132
1,40,40,56.57,1,145,145.0,49145
1,41,41,57.98,3,1876,625.3333333333334,50232
1,42,42,59.4,1,822,822.0,55581
1,43,43,60.81,1,837,837.0,47621
1,44,44,62.23,2,310,155.0,46323
1,45,45,63.64,0,0,0.0,50183
1,46,46,65.05,2,536,268.0,43070
1,47,47,66.47,1,291,291.0,53483
1,48,48,67.88,3,569,189.66666666666666,50932
1,49,49,69.3,4,1742,435.5,46566
1,50,50,70.71,0,0,0.0,44167
1,51,51,72.12,1,1278,1278.0,48224
1,52,52,73.54,0,0,0.0,51145
1,53,53,74.95,1,147,147.0,51796
1,54,54,76.37,0,0,0.0,48825
1,55,55,77.78,1,381,381.0,50723
1,56,56,79.2,1,430,430.0,50001
1,57,57,80.61,0,0,0.0,50018
1,58,58,82.02,0,0,0.0,47126
1,59,59,83.44,4,2145,536.25,49075
1,60,60,84.85,0,0,0.0,50403
1,61,61,86.27,2,1139,569.5,52325
1,62,62,87.68,1,675,675.0,53836
1,63,63,89.1,1,209,209.0,46797
1,64,64,90.51,1,625,625.0,47029
1,65,65,91.92,1,1091,1091.0,57582
1,66,66,93.34,1,455,455.0,45736
1,67,67,94.75,2,791,395.5,46097
1,68,68,96.17,1,351,351.0,48011
1,69,69,97.58,0,0,0.0,50931
1,70,70,98.99,0,0,0.0,56866
1,71,71,100.41,0,0,0.0,45192
1,72,72,101.82,0,0,0.0,49685
1,73,73,103.24,0,0,0.0,52003
1,74,74,104.65,1,1092,1092.0,50909
1,75,75,106.07,0,0,0.0,50551
1,76,76,107.48,0,0,0.0,49400
1,77,77,108.89,0,0,0.0,50375
1,78,78,110.31,0,0,0.0,51821
1,79,79,111.72,1,182,182.0,47581
1,80,80,113.14,0,0,0.0,50951
1,81,81,114.55,0,0,0.0,51065
1,82,82,115.97,0,0,0.0,56460
1,83,83,117.38,0,0,0.0,49795
1,84,84,118.79,0,0,0.0,50565
1,85,85,120.21,0,0,0.0,42175
1,86,86,121.62,0,0,0.0,53940
1,87,87,123.04,0,0,0.0,49784
1,88,88,124.45,0,0,0.0,52073
1,89,89,125.87,0,0,0.0,49079
1,90,90,127.28,0,0,0.0,50040
1,91,91,128.69,1,621,621.0,43920
1,92,92,130.11,0,0,0.0,49524
1,93,93,131.52,0,0,0.0,52922
1,94,94,132.94,0,0,0.0,48493
1,95,95,134.35,0,0,0.0,54918
1,96,96,135.76,0,0,0.0,44092
1,97,97,137.18,0,0,0.0,48789
1,98,98,138.59,0,0,0.0,56904
1,99,99,140.01,0,0,0.0,47810
2,3,3,2.83,18,2522,140.11111111111111,42837
2,4,4,4.24,28,2005,71.60714285714286,38008
2,5,5,5.66,21,2745,130.71428571428572,41739
2,6,6,7.07,26,3240,124.61538461538461,37000
2,7,7,8.49,10,948,94.8,42024
2,8,8,9.9,18,2138,118.77777777777777,40834
2,9,9,11.31,17,3321,195.35294117647058,41692
2,10,10,12.73,14,3593,256.64285714285717,47184
2,11,11,14.14,14,2230,159.28571428571428,42120
2,12,12,15.56,18,1670,92.77777777777777,37306
2,13,13,16.97,9,2474,274.8888888888889,43723
2,14,14,18.38,11,2141,194.63636363636363,43627
2,15,15,19.8,11,1552,141.0909090909091,46312
2,16,16,21.21,12,1656,138.0,41394
2,17,17,22.63,7,1859,265.57142857142856,48954
2,18,18,24.04,6,2052,342.0,48652
2,19,19,25.46,6,2761,460.1666666666667,44151
2,20,20,26.87,12,1961,163.41666666666666,44344
2,21,21,28.28,4,395,98.75,43775
2,22,22,29.7,11,6053,550.2727272727273,48926
2,23,23,31.11,4,604,151.0,44485
2,24,24,32.53,8,1108,138.5,47196
2,25,25,33.94,7,2364,337.7142857142857,44995
2,26,26,35.36,4,1374,343.5,53407
2,27,27,36.77,5,1711,342.2,51236
2,28,28,38.18,5,451,90.2,51356
2,29,29,39.6,5,1518,303.6,47874
2,30,30,41.01,6,1228,204.66666666666666,45468
2,31,31,42.43,4,547,136.75,46064
2,32,32,43.84,7,1362,194.57142857142858,43737
2,33,33,45.25,3,951,317.0,43573
2,34,34,46.67,3,988,329.3333333333333,48888
2,35,35,48.08,6,1777,296.1666666666667,45113
2,36,36,49.5,6,2724,454.0,44423
2,37,37,50.91,4,571,142.75,46950
2,38,38,52.33,5,1921,384.2,49221
2,39,39,53.74,6,3595,599.1666666666666,53115
2,40,40,55.15,6,1367,227.83333333333334,44028
2,41,41,56.57,2,1045,522.5,52589
2,42,42,57.98,3,564,188.0,46585
2,43,43,59.4,6,1022,170.33333333333334,44672
2,44,44,60.81,3,1491,497.0,58196
2,45,45,62.23,2,668,334.0,47281
2,46,46,63.64,6,3885,647.5,49182
2,47,47,65.05,1,280,280.0,50630
2,48,48,66.47,4,2253,563.25,49004
2,49,49,67.88,1,170,170.0,44090
2,50,50,69.3,1,87,87.0,48513
2,51,51,70.71,1,438,438.0,55218
2,52,52,72.12,3,1162,387.3333333333333,55869
2,53,53,73.54,2,634,317.0,45374
2,54,54,74.95,1,247,247.0,55239
2,55,55,76.37,2,500,250.0,56812
2,56,56,77.78,4,1455,363.75,51485
2,57,57,79.2,3,1260,420.0,42328
2,58,58,80.61,3,1812,604.0,43831
2,59,59,82.02,3,1412,470.6666666666667,57543
2,60,60,83.44,2,387,193.5,50215
2,61,61,84.85,1,753,753.0,47538
2,62,62,86.27,0,0,0.0,50813
2,63,63,87.68,3,1301,433.6666666666667,43647
2,64,64,89.1,3,699,233.0,46236
2,65,65,90.51,0,0,0.0,60304
2,66,66,91.92,0,0,0.0,52343
2,67,67,93.34,3,1723,574.3333333333334,53143
2,68,68,94.75,2,728,364.0,54716
2,69,69,96.17,1,658,658.0,47703
2,70,70,97.58,3,968,322.6666666666667,50549
2,71,71,98.99,1,596,596.0,51796
2,72,72,100.41,2,366,183.0,44551
2,73,73,101.82,2,728,364.0,60455
2,74,74,103.24,1,467,467.0,48958
2,75,75,104.65,0,0,0.0,46570
2,76,76,106.07,1,724,724.0,52553
2,77,77,107.48,0,0,0.0,51201
2,78,78,108.89,0,0,0.0,52307
2,79,79,110.31,0,0,0.0,50081
2,80,80,111.72,0,0,0.0,52227
2,81,81,113.14,0,0,0.0,42861
2,82,82,114.55,0,0,0.0,46376
2,83,83,115.97,0,0,0.0,48908
2,84,84,117.38,0,0,0.0,52055
2,85,85,118.79,0,0,0.0,60925
2,86,86,120.21,0,0,0.0,52062
2,87,87,121.62,0,0,0.0,42794
2,88,88,123.04,0,0,0.0,52979
2,89,89,124.45,0,0,0.0,47787
2,90,90,125.87,0,0,0.0,51756
2,91,91,127.28,1,403,403.0,52425
2,92,92,128.69,0,0,0.0,56180
2,93,93,130.11,0,0,0.0,54712
2,94,94,131.52,0,0,0.0,51573
2,95,95,132.94,1,256,256.0,56076
2,96,96,134.35,0,0,0.0,57148
2,97,97,135.76,0,0,0.0,54026
2,98,98,137.18,0,0,0.0,50097
2,99,99,138.59,0,0,0.0,46150
3,4,4,2.83,28,3267,116.67857142857143,38826
3,5,5,4.24,17,3740,220.0,40102
3,6,6,5.66,23,2592,112.69565217391305,42615
3,7,7,7.07,18,2038,113.22222222222223,34727
3,8,8,8.49,27,2498,92.51851851851852,34730
3,9,9,9.9,18,1815,100.83333333333333,40072
3,10,10,11.31,15,851,56.733333333333334,41932
3,11,11,12.73,19,3086,162.42105263157896,46738
3,12,12,14.14,18,2454,136.33333333333334,42628
3,13,13,15.56,17,2576,151.52941176470588,37907
3,14,14,16.97,15,1851,123.4,38780
3,15,15,18.38,9,1263,140.33333333333334,43388
3,16,16,19.8,10,3440,344.0,46243
3,17,17,21.21,9,1807,200.77777777777777,48290
3,18,18,22.63,17,5021,295.3529411764706,39319
3,19,19,24.04,12,1662,138.5,42064
3,20,20,25.46,9,1196,132.88888888888889,44057
3,21,21,26.87,4,2332,583.0,52818
3,22,22,28.28,14,3920,280.0,39260
3,23,23,29.7,7,1876,268.0,45843
3,24,24,31.11,10,2130,213.0,48872
3,25,25,32.53,14,4627,330.5,50566
3,26,26,33.94,10,1588,158.8,43360
3,27,27,35.36,12,2539,211.58333333333334,51799
3,28,28,36.77,6,2038,339.6666666666667,45493
3,29,29,38.18,10,3902,390.2,41463
3,30,30,39.6,5,878,175.6,50662
3,31,31,41.01,12,4396,366.3333333333333,50906
3,32,32,42.43,5,1568,313.6,46534
3,33,33,43.84,8,2106,263.25,49252
3,34,34,45.25,4,1456,364.0,44452
3,35,35,46.67,7,2542,363.14285714285717,51090
3,36,36,48.08,7,3561,508.7142857142857,54159
3,37,37,49.5,8,2785,348.125,47401
3,38,38,50.91,10,2662,266.2,43614
3,39,39,52.33,5,1246,249.2,42673
3,40,40,53.74,5,1310,262.0,48016
3,41,41,55.15,6,1332,222.0,48237
3,42,42,56.57,8,3121,390.125,49793
3,43,43,57.98,8,1834,229.25,50137
3,44,44,59.4,3,772,257.3333333333333,43115
3,45,45,60.81,11,2749,249.9090909090909,46513
3,46,46,62.23,3,2233,744.3333333333334,48785
3,47,47,63.64,4,2844,711.0,48660
3,48,48,65.05,2,828,414.0,50163
3,49,49,66.47,3,1195,398.3333333333333,55562
3,50,50,67.88,5,3092,618.4,43569
3,51,51,69.3,5,2698,539.6,40720
3,52,52,70.71,1,522,522.0,56334
3,53,53,72.12,2,597,298.5,50118
3,54,54,73.54,1,160,160.0,49713
3,55,55,74.95,7,4497,642.4285714285714,54984
3,56,56,76.37,3,1939,646.3333333333334,55302
3,57,57,77.78,3,1235,411.6666666666667,47697
3,58,58,79.2,6,2430,405.0,46074
3,59,59,80.61,3,486,162.0,52195
3,60,60,82.02,5,1067,213.4,48723
3,61,61,83.44,0,0,0.0,52128
3,62,62,84.85,2,688,344.0,50024
3,63,63,86.27,4,1716,429.0,50601
3,64,64,87.68,3,1638,546.0,48708
3,65,65,89.1,4,2094,523.5,52204
3,66,66,90.51,3,316,105.33333333333333,49149
3,67,67,91.92,4,1541,385.25,43684
3,68,68,93.34,2,904,452.0,53287
3,69,69,94.75,2,2393,1196.5,57014
3,70,70,96.17,4,3383,845.75,56561
3,71,71,97.58,1,1534,1534.0,52746
3,72,72,98.99,2,1067,533.5,43123
3,73,73,100.41,3,1696,565.3333333333334,56484
3,74,74,101.82,1,227,227.0,48182
3,75,75,103.24,2,1578,789.0,49496
3,76,76,104.65,3,846,282.0,47640
3,77,77,106.07,0,0,0.0,51064
3,78,78,107.48,1,523,523.0,47825
3,79,79,108.89,1,1381,1381.0,54517
3,80,80,110.31,0,0,0.0,49215
3,81,81,111.72,2,534,267.0,52276
3,82,82,113.14,1,905,905.0,48955
3,83,83,114.55,0,0,0.0,54335
3,84,84,115.97,1,617,617.0,52857
3,85,85,117.38,0,0,0.0,52890
3,86,86,118.79,1,696,696.0,56807
3,87,87,120.21,0,0,0.0,50269
3,88,88,121.62,2,630,315.0,53306
3,89,89,123.04,1,127,127.0,52580
3,90,90,124.45,1,1002,1002.0,53513
3,91,91,125.87,0,0,0.0,51798
3,92,92,127.28,0,0,0.0,51222
3,93,93,128.69,0,0,0.0,47477
3,94,94,130.11,0,0,0.0,55710
3,95,95,131.52,0,0,0.0,51377
3,96,96,132.94,0,0,0.0,52830
3,97,97,134.35,0,0,0.0,53391
3,98,98,135.76,0,0,0.0,50488
3,99,99,137.18,0,0,0.0,58501
4,5,5,2.83,41,6897,168.21951219512195,37207
4,6,6,4.24,31,4789,154.48387096774192,34250
4,7,7,5.66,32,5327,166.46875,34913
4,8,8,7.07,25,1880,75.2,29990
4,9,9,8.49,28,2968,106.0,35563
4,10,10,9.9,25,3625,145.0,35837
4,11,11,11.31,23,1912,83.1304347826087,36702
4,12,12,12.73,20,3099,154.95,41587
4,13,13,14.14,21,3612,172.0,42291
4,14,14,15.56,18,4246,235.88888888888889,42949
4,15,15,16.97,24,5311,221.29166666666666,44526
4,16,16,18.38,26,7131,274.2692307692308,39590
4,17,17,19.8,24,6455,268.9583333333333,42312
4,18,18,21.21,16,5179,323.6875,45012
4,19,19,22.63,15,3639,242.6,44748
4,20,20,24.04,16,5430,339.375,45874
4,21,21,25.46,5,638,127.6,44435
4,22,22,26.87,17,3296,193.88235294117646,41203
