patch-size,x-offset,y-offset,distance,tally
3,73,73,100.41,3
3,74,74,101.82,2
3,75,75,103.24,5
3,76,76,104.65,4
3,77,77,106.07,3
3,78,78,107.48,2
3,79,79,108.89,1
3,80,80,110.31,3
3,81,81,111.72,2
3,82,82,113.14,3
3,83,83,114.55,1
3,84,84,115.97,1
3,85,85,117.38,0
3,86,86,118.79,1
3,87,87,120.21,0
3,88,88,121.62,0
3,89,89,123.04,0
3,90,90,124.45,1
3,91,91,125.87,0
3,92,92,127.28,2
3,93,93,128.69,0
3,94,94,130.11,0
3,95,95,131.52,0
3,96,96,132.94,1
3,97,97,134.35,1
3,98,98,135.76,0
3,99,99,137.18,0
4,5,5,2.83,70
4,6,6,4.24,72
4,7,7,5.66,59
4,8,8,7.07,56
4,9,9,8.49,51
4,10,10,9.9,63
4,11,11,11.31,51
4,12,12,12.73,40
4,13,13,14.14,40
4,14,14,15.56,40
4,15,15,16.97,39
4,16,16,18.38,42
4,17,17,19.8,39
4,18,18,21.21,47
4,19,19,22.63,31
4,20,20,24.04,34
4,21,21,25.46,39
4,22,22,26.87,27
4,23,23,28.28,31
4,24,24,29.7,34
4,25,25,31.11,24
4,26,26,32.53,34
4,27,27,33.94,28
4,28,28,35.36,29
4,29,29,36.77,24
4,30,30,38.18,30
4,31,31,39.6,26
4,32,32,41.01,17
4,33,33,42.43,15
4,34,34,43.84,15
4,35,35,45.25,19
4,36,36,46.67,20
4,37,37,48.08,22
4,38,38,49.5,16
4,39,39,50.91,18
4,40,40,52.33,14
4,41,41,53.74,17
4,42,42,55.15,23
4,43,43,56.57,21
4,44,44,57.98,14
4,45,45,59.4,10
4,46,46,60.81,7
4,47,47,62.23,15
4,48,48,63.64,17
4,49,49,65.05,11
4,50,50,66.47,11
4,51,51,67.88,10
4,52,52,69.3,9
4,53,53,70.71,6
4,54,54,72.12,10
4,55,55,73.54,7
4,56,56,74.95,4
4,57,57,76.37,5
4,58,58,77.78,8
4,59,59,79.2,7
4,60,60,80.61,6
4,61,61,82.02,10
4,62,62,83.44,9
4,63,63,84.85,10
4,64,64,86.27,3
4,65,65,87.68,7
4,66,66,89.1,2
4,67,67,90.51,2
4,68,68,91.92,5
4,69,69,93.34,4
4,70,70,94.75,3
4,71,71,96.17,5
4,72,72,97.58,3
4,73,73,98.99,3
4,74,74,100.41,4
4,75,75,101.82,1
4,76,76,103.24,3
4,77,77,104.65,2
4,78,78,106.07,3
4,79,79,107.48,2
4,80,80,108.89,3
4,81,81,110.31,3
4,82,82,111.72,0
4,83,83,113.14,2
4,84,84,114.55,1
4,85,85,115.97,0
4,86,86,117.38,1
4,87,87,118.79,1
4,88,88,120.21,0
4,89,89,121.62,1
4,90,90,123.04,1
4,91,91,124.45,1
4,92,92,125.87,1
4,93,93,127.28,1
4,94,94,128.69,0
4,95,95,130.11,0
4,96,96,131.52,0
4,97,97,132.94,0
4,98,98,134.35,1
4,99,99,135.76,0
5,6,6,2.83,79
5,7,7,4.24,70
5,8,8,5.66,69
5,9,9,7.07,62
5,10,10,8.49,64
5,11,11,9.9,53
5,12,12,11.31,44
5,13,13,12.73,57
5,14,14,14.14,43
5,15,15,15.56,49
5,16,16,16.97,38
5,17,17,18.38,44
5,18,18,19.8,38
5,19,19,21.21,30
5,20,20,22.63,44
5,21,21,24.04,28
5,22,22,25.46,27
5,23,23,26.87,35
5,24,24,28.28,36
5,25,25,29.7,26
5,26,26,31.11,34
5,27,27,32.53,25
5,28,28,33.94,33
5,29,29,35.36,33
5,30,30,36.77,23
5,31,31,38.18,16
5,32,32,39.6,20
5,33,33,41.01,16
5,34,34,42.43,16
5,35,35,43.84,23
5,36,36,45.25,23
5,37,37,46.67,17
5,38,38,48.08,19
5,39,39,49.5,14
5,40,40,50.91,17
5,41,41,52.33,15
5,42,42,53.74,15
5,43,43,55.15,19
5,44,44,56.57,20
5,45,45,57.98,16
5,46,46,59.4,17
5,47,47,60.81,10
5,48,48,62.23,14
5,49,49,63.64,14
5,50,50,65.05,9
5,51,51,66.47,10
5,52,52,67.88,13
5,53,53,69.3,16
5,54,54,70.71,14
5,55,55,72.12,12
5,56,56,73.54,5
5,57,57,74.95,6
5,58,58,76.37,9
5,59,59,77.78,10
5,60,60,79.2,8
5,61,61,80.61,9
5,62,62,82.02,5
5,63,63,83.44,6
5,64,64,84.85,5
5,65,65,86.27,2
5,66,66,87.68,4
5,67,67,89.1,5
5,68,68,90.51,5
5,69,69,91.92,1
5,70,70,93.34,7
5,71,71,94.75,2
5,72,72,96.17,6
5,73,73,97.58,9
5,74,74,98.99,4
5,75,75,100.41,4
5,76,76,101.82,2
5,77,77,103.24,5
5,78,78,104.65,0
5,79,79,106.07,3
5,80,80,107.48,4
5,81,81,108.89,1
5,82,82,110.31,6
5,83,83,111.72,0
5,84,84,113.14,1
5,85,85,114.55,1
5,86,86,115.97,0
5,87,87,117.38,1
5,88,88,118.79,2
5,89,89,120.21,0
5,90,90,121.62,1
5,91,91,123.04,0
5,92,92,124.45,0
5,93,93,125.87,0
5,94,94,127.28,0
5,95,95,128.69,0
5,96,96,130.11,0
5,97,97,131.52,1
5,98,98,132.94,0
5,99,99,134.35,0
6,7,7,2.83,81
6,8,8,4.24,72
6,9,9,5.66,71
6,10,10,7.07,62
6,11,11,8.49,61
6,12,12,9.9,52
6,13,13,11.31,52
6,14,14,12.73,45
6,15,15,14.14,52
6,16,16,15.56,51
6,17,17,16.97,45
6,18,18,18.38,42
6,19,19,19.8,45
6,20,20,21.21,40
6,21,21,22.63,32
6,22,22,24.04,37
6,23,23,25.46,31
6,24,24,26.87,36
6,25,25,28.28,35
6,26,26,29.7,32
6,27,27,31.11,34
6,28,28,32.53,29
6,29,29,33.94,24
6,30,30,35.36,26
6,31,31,36.77,20
6,32,32,38.18,28
6,33,33,39.6,28
6,34,34,41.01,26
6,35,35,42.43,23
6,36,36,43.84,21
6,37,37,45.25,15
6,38,38,46.67,22
6,39,39,48.08,19
6,40,40,49.5,15
6,41,41,50.91,15
6,42,42,52.33,20
6,43,43,53.74,16
6,44,44,55.15,13
6,45,45,56.57,11
6,46,46,57.98,21
6,47,47,59.4,15
6,48,48,60.81,10
6,49,49,62.23,13
6,50,50,63.64,14
6,51,51,65.05,12
6,52,52,66.47,11
6,53,53,67.88,12
6,54,54,69.3,12
6,55,55,70.71,4
6,56,56,72.12,9
6,57,57,73.54,6
6,58,58,74.95,7
6,59,59,76.37,5
6,60,60,77.78,4
6,61,61,79.2,10
6,62,62,80.61,7
6,63,63,82.02,8
6,64,64,83.44,6
6,65,65,84.85,10
6,66,66,86.27,6
6,67,67,87.68,6
6,68,68,89.1,5
6,69,69,90.51,3
6,70,70,91.92,8
6,71,71,93.34,4
6,72,72,94.75,7
6,73,73,96.17,2
6,74,74,97.58,1
6,75,75,98.99,3
6,76,76,100.41,5
6,77,77,101.82,6
6,78,78,103.24,6
6,79,79,104.65,3
6,80,80,106.07,2
6,81,81,107.48,2
6,82,82,108.89,1
6,83,83,110.31,5
6,84,84,111.72,1
6,85,85,113.14,3
6,86,86,114.55,1
6,87,87,115.97,3
6,88,88,117.38,3
6,89,89,118.79,0
6,90,90,120.21,1
6,91,91,121.62,2
6,92,92,123.04,3
6,93,93,124.45,0
6,94,94,125.87,4
6,95,95,127.28,0
6,96,96,128.69,0
6,97,97,130.11,1
6,98,98,131.52,0
6,99,99,132.94,0
7,8,8,2.83,75
7,9,9,4.24,70
7,10,10,5.66,64
7,11,11,7.07,59
7,12,12,8.49,56
7,13,13,9.9,70
7,14,14,11.31,51
7,15,15,12.73,40
7,16,16,14.14,54
7,17,17,15.56,37
7,18,18,16.97,49
7,19,19,18.38,41
7,20,20,19.8,48
7,21,21,21.21,41
7,22,22,22.63,40
7,23,23,24.04,32
7,24,24,25.46,40
7,25,25,26.87,37
7,26,26,28.28,35
7,27,27,29.7,33
7,28,28,31.11,28
7,29,29,32.53,29
7,30,30,33.94,23
7,31,31,35.36,30
7,32,32,36.77,23
7,33,33,38.18,21
7,34,34,39.6,25
7,35,35,41.01,25
7,36,36,42.43,11
7,37,37,43.84,21
7,38,38,45.25,17
7,39,39,46.67,22
7,40,40,48.08,20
7,41,41,49.5,29
7,42,42,50.91,17
7,43,43,52.33,14
7,44,44,53.74,15
7,45,45,55.15,13
7,46,46,56.57,17
7,47,47,57.98,14
7,48,48,59.4,18
7,49,49,60.81,15
7,50,50,62.23,14
7,51,51,63.64,16
7,52,52,65.05,12
7,53,53,66.47,13
7,54,54,67.88,13
7,55,55,69.3,19
7,56,56,70.71,12
7,57,57,72.12,9
7,58,58,73.54,12
7,59,59,74.95,10
7,60,60,76.37,9
7,61,61,77.78,10
7,62,62,79.2,9
7,63,63,80.61,8
7,64,64,82.02,6
7,65,65,83.44,9
7,66,66,84.85,9
7,67,67,86.27,9
7,68,68,87.68,5
7,69,69,89.1,2
7,70,70,90.51,4
7,71,71,91.92,4
7,72,72,93.34,6
7,73,73,94.75,6
7,74,74,96.17,4
7,75,75,97.58,6
7,76,76,98.99,2
7,77,77,100.41,6
7,78,78,101.82,0
7,79,79,103.24,2
7,80,80,104.65,3
7,81,81,106.07,1
7,82,82,107.48,3
7,83,83,108.89,4
7,84,84,110.31,1
7,85,85,111.72,2
7,86,86,113.14,2
7,87,87,114.55,3
7,88,88,115.97,2
7,89,89,117.38,1
7,90,90,118.79,2
7,91,91,120.21,0
7,92,92,121.62,2
7,93,93,123.04,0
7,94,94,124.45,1
7,95,95,125.87,0
7,96,96,127.28,1
7,97,97,128.69,0
7,98,98,130.11,0
7,99,99,131.52,0
8,9,9,2.83,82
8,10,10,4.24,80
8,11,11,5.66,72
8,12,12,7.07,62
8,13,13,8.49,66
8,14,14,9.9,62
8,15,15,11.31,58
8,16,16,12.73,47
8,17,17,14.14,56
8,18,18,15.56,46
8,19,19,16.97,45
8,20,20,18.38,45
8,21,21,19.8,40
8,22,22,21.21,41
8,23,23,22.63,47
8,24,24,24.04,43
8,25,25,25.46,35
8,26,26,26.87,36
8,27,27,28.28,40
8,28,28,29.7,32
8,29,29,31.11,33
8,30,30,32.53,35
8,31,31,33.94,20
8,32,32,35.36,26
8,33,33,36.77,32
8,34,34,38.18,32
8,35,35,39.6,26
8,36,36,41.01,22
8,37,37,42.43,30
8,38,38,43.84,27
8,39,39,45.25,23
8,40,40,46.67,21
8,41,41,48.08,18
8,42,42,49.5,20
8,43,43,50.91,17
8,44,44,52.33,25
8,45,45,53.74,12
8,46,46,55.15,16
8,47,47,56.57,17
8,48,48,57.98,21
8,49,49,59.4,10
8,50,50,60.81,20
8,51,51,62.23,23
8,52,52,63.64,15
8,53,53,65.05,15
8,54,54,66.47,12
8,55,55,67.88,14
8,56,56,69.3,9
8,57,57,70.71,12
8,58,58,72.12,7
8,59,59,73.54,9
8,60,60,74.95,8
8,61,61,76.37,7
8,62,62,77.78,8
8,63,63,79.2,8
8,64,64,80.61,7
8,65,65,82.02,4
8,66,66,83.44,5
8,67,67,84.85,6
8,68,68,86.27,6
8,69,69,87.68,6
8,70,70,89.1,10
8,71,71,90.51,3
8,72,72,91.92,4
8,73,73,93.34,9
8,74,74,94.75,4
8,75,75,96.17,4
8,76,76,97.58,4
8,77,77,98.99,4
8,78,78,100.41,8
8,79,79,101.82,3
8,80,80,103.24,1
8,81,81,104.65,3
8,82,82,106.07,2
8,83,83,107.48,3
8,84,84,108.89,1
8,85,85,110.31,2
8,86,86,111.72,2
8,87,87,113.14,1
8,88,88,114.55,3
8,89,89,115.97,1
8,90,90,117.38,2
8,91,91,118.79,2
8,92,92,120.21,1
8,93,93,121.62,0
8,94,94,123.04,0
8,95,95,124.45,1
8,96,96,125.87,1
8,97,97,127.28,1
8,98,98,128.69,0
8,99,99,130.11,0
9,10,10,2.83,79
9,11,11,4.24,75
9,12,12,5.66,74
9,13,13,7.07,63
9,14,14,8.49,47
9,15,15,9.9,57
9,16,16,11.31,55
9,17,17,12.73,50
9,18,18,14.14,50
9,19,19,15.56,46
9,20,20,16.97,49
9,21,21,18.38,46
9,22,22,19.8,37
9,23,23,21.21,41
9,24,24,22.63,36
9,25,25,24.04,44
9,26,26,25.46,39
9,27,27,26.87,46
9,28,28,28.28,36
9,29,29,29.7,31
9,30,30,31.11,45
9,31,31,32.53,30
9,32,32,33.94,22
9,33,33,35.36,29
9,34,34,36.77,29
9,35,35,38.18,17
9,36,36,39.6,27
9,37,37,41.01,17
