patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
8.0,56.0,56.0,69.3,9.0,56035.0,6226.111111111111,645966.0
8.0,57.0,57.0,70.71,12.0,56704.0,4725.333333333333,729418.0
8.0,58.0,58.0,72.12,7.0,37446.0,5349.428571428572,686709.0
8.0,59.0,59.0,73.54,9.0,51213.0,5690.333333333333,678786.0
8.0,60.0,60.0,74.95,8.0,34816.0,4352.0,649591.0
8.0,61.0,61.0,76.37,7.0,28985.0,4140.714285714285,669118.0
8.0,62.0,62.0,77.78,8.0,40949.0,5118.625,685632.0
8.0,63.0,63.0,79.2,8.0,41671.0,5208.875,676403.0
8.0,64.0,64.0,80.61,7.0,33474.0,4782.0,594087.0
8.0,65.0,65.0,82.02,4.0,19898.0,4974.5,680832.0
8.0,66.0,66.0,83.44,5.0,25050.0,5010.0,684303.0
8.0,67.0,67.0,84.85,6.0,33020.0,5503.333333333333,763304.0
8.0,68.0,68.0,86.27,6.0,36969.0,6161.5,650440.0
8.0,69.0,69.0,87.68,6.0,22782.0,3797.0,671219.0
8.0,70.0,70.0,89.1,10.0,48934.0,4893.4,715130.0
8.0,71.0,71.0,90.51,3.0,13914.0,4638.0,675811.0
8.0,72.0,72.0,91.92,4.0,16722.0,4180.5,716473.0
8.0,73.0,73.0,93.34,9.0,49772.0,5530.222222222223,706147.0
8.0,74.0,74.0,94.75,4.0,25571.0,6392.75,704835.0
8.0,75.0,75.0,96.17,4.0,11036.0,2759.0,660701.0
8.0,76.0,76.0,97.58,4.0,21224.0,5306.0,712213.0
8.0,77.0,77.0,98.99,4.0,16008.0,4002.0,694221.0
8.0,78.0,78.0,100.41,8.0,40291.0,5036.375,677903.0
8.0,79.0,79.0,101.82,3.0,23064.0,7688.0,713507.0
8.0,80.0,80.0,103.24,1.0,7787.0,7787.0,699123.0
8.0,81.0,81.0,104.65,3.0,14899.0,4966.333333333333,704538.0
8.0,82.0,82.0,106.07,2.0,9086.0,4543.0,721262.0
8.0,83.0,83.0,107.48,3.0,7637.0,2545.6666666666665,718751.0
8.0,84.0,84.0,108.89,1.0,6714.0,6714.0,753662.0
8.0,85.0,85.0,110.31,2.0,14100.0,7050.0,710673.0
8.0,86.0,86.0,111.72,2.0,9509.0,4754.5,668908.0
8.0,87.0,87.0,113.14,1.0,3396.0,3396.0,703787.0
8.0,88.0,88.0,114.55,3.0,12937.0,4312.333333333333,737713.0
8.0,89.0,89.0,115.97,1.0,3769.0,3769.0,656903.0
8.0,90.0,90.0,117.38,2.0,13906.0,6953.0,712466.0
8.0,91.0,91.0,118.79,2.0,14345.0,7172.5,732038.0
8.0,92.0,92.0,120.21,1.0,9276.0,9276.0,689702.0
8.0,93.0,93.0,121.62,0.0,0.0,0.0,653495.0
8.0,94.0,94.0,123.04,0.0,0.0,0.0,718117.0
8.0,95.0,95.0,124.45,1.0,3841.0,3841.0,701521.0
8.0,96.0,96.0,125.87,1.0,9368.0,9368.0,702064.0
8.0,97.0,97.0,127.28,1.0,3397.0,3397.0,727024.0
8.0,98.0,98.0,128.69,0.0,0.0,0.0,663463.0
8.0,99.0,99.0,130.11,0.0,0.0,0.0,690570.0
9.0,10.0,10.0,2.83,79.0,38881.0,492.1645569620253,181046.0
9.0,11.0,11.0,4.24,75.0,83875.0,1118.3333333333333,240016.0
9.0,12.0,12.0,5.66,74.0,64106.0,866.2972972972973,227644.0
9.0,13.0,13.0,7.07,63.0,49488.0,785.5238095238095,275799.0
9.0,14.0,14.0,8.49,47.0,49896.0,1061.6170212765958,353668.0
9.0,15.0,15.0,9.9,57.0,51119.0,896.8245614035088,312538.0
9.0,16.0,16.0,11.31,55.0,71003.0,1290.9636363636364,380412.0
9.0,17.0,17.0,12.73,50.0,70321.0,1406.42,364119.0
9.0,18.0,18.0,14.14,50.0,89455.0,1789.1,418103.0
9.0,19.0,19.0,15.56,46.0,72352.0,1572.8695652173913,387243.0
9.0,20.0,20.0,16.97,49.0,97818.0,1996.2857142857142,423329.0
9.0,21.0,21.0,18.38,46.0,79054.0,1718.5652173913043,376107.0
9.0,22.0,22.0,19.8,37.0,74287.0,2007.7567567567567,500767.0
9.0,23.0,23.0,21.21,41.0,63662.0,1552.7317073170732,422576.0
9.0,24.0,24.0,22.63,36.0,89073.0,2474.25,482767.0
9.0,25.0,25.0,24.04,44.0,104151.0,2367.068181818182,454087.0
9.0,26.0,26.0,25.46,39.0,90844.0,2329.3333333333335,477249.0
9.0,27.0,27.0,26.87,46.0,95648.0,2079.304347826087,434096.0
9.0,28.0,28.0,28.28,36.0,89823.0,2495.0833333333335,493953.0
9.0,29.0,29.0,29.7,31.0,59428.0,1917.032258064516,527127.0
9.0,30.0,30.0,31.11,45.0,127024.0,2822.7555555555555,473934.0
9.0,31.0,31.0,32.53,30.0,76804.0,2560.133333333333,557852.0
9.0,32.0,32.0,33.94,22.0,63307.0,2877.590909090909,589631.0
9.0,33.0,33.0,35.36,29.0,73871.0,2547.2758620689656,541518.0
9.0,34.0,34.0,36.77,29.0,89712.0,3093.5172413793102,537987.0
9.0,35.0,35.0,38.18,17.0,41716.0,2453.8823529411766,568049.0
9.0,36.0,36.0,39.6,27.0,79692.0,2951.5555555555557,565310.0
9.0,37.0,37.0,41.01,17.0,50772.0,2986.5882352941176,582552.0
9.0,38.0,38.0,42.43,32.0,96137.0,3004.28125,531613.0
9.0,39.0,39.0,43.84,21.0,71353.0,3397.7619047619046,534217.0
9.0,40.0,40.0,45.25,26.0,104777.0,4029.8846153846152,589395.0
9.0,41.0,41.0,46.67,13.0,41157.0,3165.923076923077,652318.0
9.0,42.0,42.0,48.08,23.0,77335.0,3362.391304347826,599403.0
9.0,43.0,43.0,49.5,17.0,56475.0,3322.0588235294117,622659.0
9.0,44.0,44.0,50.91,22.0,93500.0,4250.0,636755.0
9.0,45.0,45.0,52.33,29.0,122658.0,4229.586206896552,585249.0
9.0,46.0,46.0,53.74,20.0,61855.0,3092.75,623527.0
9.0,47.0,47.0,55.15,13.0,60150.0,4626.923076923077,664775.0
9.0,48.0,48.0,56.57,15.0,43926.0,2928.4,637377.0
9.0,49.0,49.0,57.98,15.0,70609.0,4707.266666666666,670975.0
9.0,50.0,50.0,59.4,20.0,86545.0,4327.25,659486.0
9.0,51.0,51.0,60.81,14.0,79610.0,5686.428571428572,660897.0
9.0,52.0,52.0,62.23,10.0,34742.0,3474.2,640781.0
9.0,53.0,53.0,63.64,14.0,68112.0,4865.142857142857,628914.0
9.0,54.0,54.0,65.05,16.0,78389.0,4899.3125,629187.0
9.0,55.0,55.0,66.47,16.0,70993.0,4437.0625,675296.0
9.0,56.0,56.0,67.88,7.0,27482.0,3926.0,692977.0
9.0,57.0,57.0,69.3,10.0,51598.0,5159.8,677669.0
9.0,58.0,58.0,70.71,15.0,73584.0,4905.6,684031.0
9.0,59.0,59.0,72.12,13.0,66714.0,5131.846153846154,621269.0
9.0,60.0,60.0,73.54,11.0,50786.0,4616.909090909091,639709.0
9.0,61.0,61.0,74.95,8.0,34495.0,4311.875,627108.0
9.0,62.0,62.0,76.37,6.0,19673.0,3278.8333333333335,690715.0
9.0,63.0,63.0,77.78,8.0,38078.0,4759.75,665872.0
9.0,64.0,64.0,79.2,11.0,56260.0,5114.545454545455,691936.0
9.0,65.0,65.0,80.61,7.0,41352.0,5907.428571428572,731352.0
9.0,66.0,66.0,82.02,8.0,29308.0,3663.5,700408.0
9.0,67.0,67.0,83.44,10.0,50814.0,5081.4,700218.0
9.0,68.0,68.0,84.85,9.0,58491.0,6499.0,711121.0
9.0,69.0,69.0,86.27,7.0,40338.0,5762.571428571428,743473.0
9.0,70.0,70.0,87.68,7.0,34525.0,4932.142857142857,649668.0
9.0,71.0,71.0,89.1,5.0,34512.0,6902.4,710904.0
9.0,72.0,72.0,90.51,9.0,42214.0,4690.444444444444,706742.0
9.0,73.0,73.0,91.92,7.0,40292.0,5756.0,707002.0
9.0,74.0,74.0,93.34,7.0,42745.0,6106.428571428572,656239.0
9.0,75.0,75.0,94.75,6.0,26363.0,4393.833333333333,638242.0
9.0,76.0,76.0,96.17,3.0,14944.0,4981.333333333333,682817.0
9.0,77.0,77.0,97.58,5.0,25563.0,5112.6,678401.0
9.0,78.0,78.0,98.99,4.0,24391.0,6097.75,695339.0
9.0,79.0,79.0,100.41,1.0,2764.0,2764.0,674478.0
9.0,80.0,80.0,101.82,5.0,26418.0,5283.6,735548.0
9.0,81.0,81.0,103.24,2.0,8788.0,4394.0,666018.0
9.0,82.0,82.0,104.65,4.0,18200.0,4550.0,643365.0
9.0,83.0,83.0,106.07,2.0,11752.0,5876.0,711593.0
9.0,84.0,84.0,107.48,2.0,14862.0,7431.0,665787.0
9.0,85.0,85.0,108.89,1.0,4632.0,4632.0,673840.0
9.0,86.0,86.0,110.31,5.0,26298.0,5259.6,688490.0
9.0,87.0,87.0,111.72,1.0,2324.0,2324.0,689028.0
9.0,88.0,88.0,113.14,4.0,27494.0,6873.5,743266.0
9.0,89.0,89.0,114.55,2.0,16096.0,8048.0,726755.0
9.0,90.0,90.0,115.97,2.0,15024.0,7512.0,677906.0
9.0,91.0,91.0,117.38,2.0,5033.0,2516.5,661807.0
9.0,92.0,92.0,118.79,1.0,4812.0,4812.0,690374.0
9.0,93.0,93.0,120.21,2.0,11428.0,5714.0,721983.0
9.0,94.0,94.0,121.62,0.0,0.0,0.0,639781.0
9.0,95.0,95.0,123.04,0.0,0.0,0.0,692908.0
9.0,96.0,96.0,124.45,4.0,28200.0,7050.0,695948.0
9.0,97.0,97.0,125.87,2.0,13512.0,6756.0,670572.0
9.0,98.0,98.0,127.28,0.0,0.0,0.0,630965.0
9.0,99.0,99.0,128.69,0.0,0.0,0.0,740318.0
